,T,n_h1/n_h,Pressure,Internal_Energy,Specific_Heat
,100,1.37768751743912883551770104309468420E-0341,8.252532455,12.3787986825,123787990.326146
,200,4.98021150813695E-170,16.50506491,24.757597365,123787990.326146
,300,8.71146250875445E-113,24.757597365,37.1363960476,123787990.326146
,400,3.88313557782932E-084,33.01012982,49.5151947301,123787990.326146
,500,6.23874817549378E-067,41.2626622751,61.8939934126,123787990.326146
,600,1.89076873894639E-055,49.5151947301,74.2727920951,123787990.326146
,700,3.05865606787252E-047,57.7677271851,86.6515907776,123787990.326146
,800,4.44668330170907E-041,66.0202596401,99.0303894601,123787990.326146
,900,2.79017742007832E-036,74.2727920951,111.4091881427,123787990.326146
,1000,1.93791593119019E-032,82.5253245501,123.7879868252,123787990.326146
,1100,2.7133921399815E-029,90.7778570051,136.1667855077,123787990.326146
,1200,1.14234778621883E-026,99.0303894601,148.5455841902,123787990.326146
,1300,1.90738413718126E-024,107.2829219152,160.9243828727,123787990.326146
,1400,1.53939297209907E-022,115.5354543702,173.3031815553,123787990.326146
,1500,6.94317716047701E-021,123.7879868252,185.6819802378,123787990.326146
,1600,1.95141328252482E-019,132.0405192802,198.0607789203,123787990.326146
,1700,3.71443208709542E-018,140.2930517352,210.4395776028,123787990.326147
,1800,5.10892190679089E-017,148.5455841902,222.8183762853,123787990.326162
,1900,5.3442097773697E-016,156.7981166452,235.1971749679,123787990.326303
,2000,4.42934875332666E-015,165.0506491002,247.5759736504,123787990.327328
,2100,3.00676869343673E-014,173.3031815553,259.9547723333,123787990.333437
,2200,1.71771451201844E-013,181.5557140103,272.3335710177,123787990.364174
,2300,8.44564283830774E-013,189.8082464654,284.7123697092,123787990.497546
,2400,3.64136673029777E-012,198.060778921,297.0911684289,123787991.006145
,2500,1.39852064351278E-011,206.3133113782,309.4699672494,123787992.737639
,2600,4.84864353972595E-011,214.5658438407,321.8487663925,123787998.070793
,2700,1.53475604166463E-010,222.8183763195,334.227566478,123788013.101806
,2800,4.47863002275664E-010,231.0709088438,346.6063690981,123788052.244514
,2900,1.21499909855323E-009,239.3234414861,358.9851780518,123788147.218471
,3000,3.08663877214468E-009,247.5759744145,371.3640018182,123788363.487396
,3100,7.38962807853449E-009,255.8285079959,383.7428582268,123788828.596438
,3200,1.67645547789879E-008,264.0810429876,396.1217828014,123789778.495807
,3300,3.6216629498555E-008,272.3335808784,408.5008429564,123791629.717044
,3400,7.48233192496789E-008,280.5861244648,420.8801610998,123795087.079491
,3500,1.48399451590806E-007,288.8386787889,433.2599507468,123801298.207422
,3600,2.83507250930115E-007,297.0912526079,445.6405709454,123812067.422999
,3700,5.23292199015098E-007,305.3438606194,458.0226056131,123830142.317327
,3800,9.35721012127569E-007,313.596526729,470.4069757194,123859586.345382
,3900,1.62489344845868E-006,321.8492887154,482.7950935935,123906250.309373
,4000,2.74617376404119E-006,330.102204716,495.1890697057,123978353.36649
,4100,0.000004526,338.3553620373,507.5919835578,124087183.499408
,4200,7.28707250481482E-006,346.6088888562,520.0082307353,124247922.543838
,4300,1.14803029880024E-005,354.8629694532,532.4439588663,124480598.872358
,4400,1.77236246470716E-005,363.1178636712,544.907605177,124811166.285783
,4500,2.68493280818624E-005,371.3739313484,557.410548106,125272704.044013
,4600,3.99602354593507E-005,379.631662495,569.9678844048,125906727.621528
,4700,5.84956168836951E-005,387.8917140235,582.599342643,126764598.420685
,4800,8.43073813782395E-005,396.1549538118,595.3303415166,127909012.83282
,4900,0.000119747,404.4225128753,608.1931999363,129415549.903992
,5000,0.0001677637,412.6958465074,621.2285078298,131374267.639912
,5100,0.000232013,420.9768046575,634.4866461149,133891273.761482
,5200,0.0003169777,429.2677128356,648.0294787321,137090322.434967
,5300,0.0004280978,437.5714633473,661.9321899178,141114325.272941
,5400,0.000571912,445.8916175943,676.2852725108,146126787.306486
,5500,0.000756208,454.2325197202,691.19665864,152313134.493427
,5600,0.00099018,462.5994210648,706.7939611509,159881845.132972
,5700,0.0012845953,470.9986163294,723.2268405371,169065437.696787
,5800,0.0016519647,479.4375901681,740.6694474367,180121190.60128
,5900,0.0021067142,487.9251727381,759.3228921881,193331501.220912
,6000,0.0026653627,496.471706809,779.4178120632,209004088.064439
,6100,0.0033466942,505.0892206027,801.2168675251,227471646.700711
,6200,0.0041719263,513.7916075342,825.0172079783,249091114.850504
,6300,0.00516487,522.5948098603,851.1528320953,274242416.456837
,6400,0.0063520796,531.5170046991,879.9968147325,303326674.917351
,6500,0.0077629846,540.5787879456,911.9632997799,336763737.548782
,6600,0.0094300014,549.8033539214,947.5092285425,374989018.595653
,6700,0.0113886174,559.2166650864,987.1356884972,418449502.746799
,6800,0.013677446,568.8476095195,1031.3888633129,467598955.422069
,6900,0.0163382384,578.7281365372,1080.8603880482,522892061.827154
,7000,0.0194158553,588.8933701438,1136.1871583005,584777693.81623
,7100,0.0229581841,599.3816886499,1198.0503672219,653691006.882571
,7200,0.0270159856,610.2347582355,1267.1735542317,730044157.85562
,7300,0.0316427004,621.4975352754,1344.320096133,814216493.506064
,7400,0.0368941339,633.218184444,1430.2889796441,906542495.109446
,7500,0.0428280933,645.4479513602,1525.9098775963,1007299354.76382
,7600,0.049503952,658.2409723533,1632.0371988705,1116693759.11512
,7700,0.0569820028,671.6539277197,1749.5411375161,1234845358.49652
,7800,0.0653228598,685.7456951232,1879.2993734921,1361772475.40531
,7900,0.0745865876,700.5767944731,2022.1848862283,1497373941.25954
,8000,0.0848319572,716.2088747903,2179.0555109436,1641414992.09342
,8100,0.0961153085,732.7038997667,2350.737889588,1793507948.20577
,8200,0.1084891648,750.1231103193,2538.0078806319,1953091702.40389
,8300,0.1220015954,768.5264301767,2741.5813601858,2119426160.12115
,8400,0.1366943517,787.9709904448,2962.0877440714,2291569787.13278
,8500,0.1526015933,808.5099747879,3200.0516558517,2468371044.70625
,8600,0.1697484517,830.1912873167,3455.8722338724,2648461489.39764
,8700,0.1881495244,853.0560985091,3729.8013323776,2830252816.9127
,8800,0.2078073312,877.1372896351,4021.9210879174,3011939152.99872
,8900,0.2287106986,902.4577677253,4332.1203513038,3191505112.91571
,9000,0.2508337307,929.0291362557,4660.0792928276,3366747807.49297
,9100,0.2741342429,956.8499114465,5005.2463299998,3535299969.62807
