,T,n_h1/n_h,n_he1/n_he,n_he2/n_he,n_c1/n_c,n_c2/n_c,n_n1/n_n,n_n2/n_n,n_o1/n_o,n_o2/n_o,ionization_energy
,100,6.09769151312918095253047675620243726E-0399,3.83737069157713790473583703305498000E-0952,1.78812945917833132458910761571295071E-3407,5.56351513302949E-281,3.39278077820111674207453856877704838E-1223,1.87490813945798341111850104091417551E-0445,4.90517612634512820030701601430935621E-1650,2.91719108711880894940697971508729211E-0400,5.09211016017783821603977355744088907E-1882,2.09394153585337E-268
,200,6.39452822245231E-198,3.20068309517805336859795166985255967E-0474,5.65784521285339842342368707007910824E-1700,6.93266815972509E-139,2.55111169546117157442761056051016674E-0608,7.40825238324706E-221,3.59628831444433044021608703851031478E-0821,9.53902781237718E-199,3.06917559940594870319718444394326171E-0937,2.60924999156636E-126
,300,7.4045817285644E-131,7.39815318510667908380724301021412991E-0315,1.07900577416972716880390566759113187E-1130,1.83187201670747E-091,3.01353359730985267214380448056797145E-0403,6.19591375483122E-146,9.07562353866218793679729265903067304E-0545,1.61372005692992E-131,3.36784212357742584939690666132611035E-0622,6.89462113867306E-079
,400,2.68544547735482E-097,3.79082240013014E-235,5.35241422439764523152273058265004290E-0846,1.00360376853216E-067,1.17649182466172E-300,1.90972115097342E-108,1.63767248475743505708116129599434836E-0406,7.07391822117586E-098,1.26723252919459347569533832941768562E-0464,3.7772659302971E-055
,500,3.81228974268828E-077,2.63608606758128E-187,3.79127631099989370566619808789742044E-0675,1.82483101095439E-053,4.55424921187475E-239,6.17659024179351E-086,1.58839149372270150433584893006417199E-0323,1.1251727712478E-077,4.79820962808463199561720426166927963E-0370,6.86812088829531E-041
,600,1.06388953458133E-063,2.12181710493344E-155,3.16814056332610184666769387587910500E-0561,6.00611754575953E-044,5.48063106462366E-198,6.42982187047264E-071,3.52619568936992E-268,3.38732027721993E-064,5.68970407133154E-307,2.26052391295202E-031
,700,4.35278320059709E-054,1.33143410607251E-132,7.74922209252657301568041727686434090E-0480,3.8415595464434E-037,1.2518901243949E-168,3.48931777843735E-060,1.24737112149962E-228,1.46300438391705E-054,6.66096638507634E-262,1.44584869536821E-024
,800,7.13684634793587E-047,1.6918619035816E-115,8.75530394436015300160965911783337820E-0419,4.95198488961284E-032,1.34366442113681E-146,3.976336635284E-052,5.87740355887152E-199,2.49818206826317E-047,4.33057719346112E-228,1.86377975027721E-019
,900,2.94785515477032E-041,3.43595201431309E-102,2.73539387201485300657934969311057645E-0371,4.72031515398546E-028,1.87227920899256E-129,7.41949595468752E-046,7.20120087952553E-176,1.06498433206066E-041,8.80286821160374E-202,1.77658615602597E-015
,1000,9.2455447831492E-037,1.53397882356147E-091,2.75468437904741128416108486586733202E-0333,7.26023828315492E-025,9.88297086490112E-116,7.77524244777461E-041,2.16388172988474E-157,3.42566630057933E-037,9.96184993847047E-181,2.73253764338578E-012
,1100,4.4441921651354E-033,7.98427395663573E-083,3.46266163642523E-302,2.9610510152493E-022,1.69173910808764E-104,1.00283733507704E-036,2.87997661741919E-142,1.68106810657971E-033,1.69839816012693E-163,1.11445151185879E-009
,1200,5.22974787071559E-030,1.47362327241082E-075,2.88713573986611E-276,4.45994383055694E-020,3.93079375483744E-095,2.68616040097187E-033,1.16894426101177E-129,2.01259554280675E-030,3.93306460376074E-149,1.67859043538264E-007
,1300,2.08374890821465E-027,2.08333140061617E-069,2.4994812314081E-254,3.12064327173935E-018,3.34088809532656E-087,2.1466150749277E-030,5.50331699014981E-119,8.13679065152409E-028,5.6708815447621E-137,1.17451844803113E-005
,1400,3.54421680768372E-025,3.91107925211403E-064,1.60288584584509E-235,1.19506228064371E-016,2.10890316305139E-080,6.62990052609458E-028,7.80453439136029E-110,1.40137855848264E-025,1.51064848600083E-126,0.0004497879
,1500,3.05016063885215E-023,1.45964516908736E-059,3.2169920693784E-219,2.82489050627745E-015,1.66211255671192E-074,9.56849557340576E-026,6.71338442842266E-102,1.21916271687806E-023,1.65085753215557E-117,0.0106322207
,1600,1.50878962285352E-021,1.46574352997632E-055,5.95506709373705E-205,4.51092038833003E-014,2.41488495334592E-069,7.4407562125329E-024,5.92133207001804E-095,6.08812345666273E-022,1.34631038627366E-109,0.1697862022
,1700,4.72925459853347E-020,4.99178147187199E-052,2.3236871527851E-192,5.21382480773148E-013,8.71338425941774E-065,3.47643973304958E-022,8.00126327276251E-089,1.92432776698092E-020,1.29479185192729E-102,1.9625975192
,1800,1.01335119759152E-018,6.90288240590655E-049,3.63516208347524E-181,4.60248524279302E-012,9.84462423154164E-061,1.06217017964703E-020,2.26355954788112E-083,4.15407579523438E-019,2.09626992621279E-096,17.3281491363
,1900,1.57593160335585E-017,4.46796136989037E-046,3.78740282097846E-171,3.23726762188175E-011,4.18217660787774E-057,2.26904637147171E-019,1.71550885049667E-078,6.50339417841475E-018,7.56681812924993E-091,121.9307647179
,2000,1.86604463081067E-016,1.51658051077318E-043,3.94409607171983E-162,1.87685707861372E-010,7.73312999722607E-054,3.57530199975144E-018,4.24232501801112E-074,7.74683298986768E-017,7.62434989253214E-086,707.454634625
,2100,1.74877919671583E-015,2.95973307281367E-041,5.70222900598668E-154,9.21824991668672E-010,7.00617011957062E-051,4.33903138627246E-017,4.01536166919193E-070,7.2994314013257E-016,2.5721682790989E-081,3479.42277252
,2200,1.33880954027976E-014,3.58047061572233E-039,1.49744131147713E-146,3.92234074125141E-009,3.42619018754472E-048,4.20182169558618E-016,1.65735246904698E-066,5.61579092017458E-015,3.37120992463879E-077,14838.6811464892
,2300,8.59406580893256E-014,2.85685784115358E-037,8.91715724220337E-140,1.4727183194091E-008,9.79525688676799E-046,3.34274796347406E-015,3.32219924533337E-063,3.62112040477498E-014,1.94069973948728E-073,55917.6093248421
,2400,4.72695803656027E-013,1.58319577381853E-035,1.44849285919935E-133,4.95457076890136E-008,1.74953588900429E-043,2.23824349300017E-014,3.53716463955349E-060,1.99993332198171E-013,5.43462467121254E-070,189164.254283851
,2500,2.26847619112156E-012,6.36339652850462E-034,7.49464734649408E-128,1.51266060819797E-007,2.0638465036595E-041,1.28720223420392E-013,2.15628723156023E-057,9.63417022752309E-013,8.06499258810447E-067,582224.883874386
,2600,9.64443262964647E-012,1.92412457320261E-032,1.40809818031468E-122,4.2361942093629E-007,1.68515079372767E-039,6.46742002306511E-013,8.01855066822785E-055,4.11032776270206E-012,6.81796149109536E-064,1649241.18507664
,2700,3.67971539167482E-011,4.51503615922039E-031,1.07390123533942E-117,1.09808348591147E-006,9.91016233866875E-038,2.88029498255725E-012,1.91952386307817E-052,1.57333466586013E-011,3.49135596894527E-061,4342187.28232391
